txn_id,posting_idx,date,flag,payee,narration,tags,links,txn_meta_id,txn_meta_source,txn_meta_pluggy_account,txn_meta_pluggy_category_id,txn_meta_pluggy_category,account,units_number,units_currency
1,0,2025-06-10,*,,Pagamento recebido,,,pluggy-7ff59330-c723-432a-94e5-2eaf82360828,pluggy,75f30132-31a8-4b54-9be0-648009b118db,05100000,Credit card payment,Liabilities:Credit:BB:Card:EloGrafite,2143.09,BRL
1,1,2025-06-10,*,,Pagamento recebido,,,pluggy-7ff59330-c723-432a-94e5-2eaf82360828,pluggy,75f30132-31a8-4b54-9be0-648009b118db,05100000,Credit card payment,Equity:Transfers,-2143.09,BRL
2,0,2025-06-10,*,,Pagamento recebido,,,pluggy-13e09807-1257-41b2-be47-122bdd23f9d9,pluggy,987decad-afee-4c0e-950e-85c3006a4b2e,05100000,Credit card payment,Liabilities:Credit:BB:Card:PlatinumVisa,7797.45,BRL
2,1,2025-06-10,*,,Pagamento recebido,,,pluggy-13e09807-1257-41b2-be47-122bdd23f9d9,pluggy,987decad-afee-4c0e-950e-85c3006a4b2e,05100000,Credit card payment,Equity:Transfers,-7797.45,BRL
3,0,2025-06-16,*,,Pagamento recebido,,,pluggy-f9320be0-e17e-4dee-924b-df10c7d87785,pluggy,987decad-afee-4c0e-950e-85c3006a4b2e,05100000,Credit card payment,Liabilities:Credit:BB:Card:PlatinumVisa,391.56,BRL
3,1,2025-06-16,*,,Pagamento recebido,,,pluggy-f9320be0-e17e-4dee-924b-df10c7d87785,pluggy,987decad-afee-4c0e-950e-85c3006a4b2e,05100000,Credit card payment,Equity:Transfers,-391.56,BRL
4,0,2025-06-17,*,,RENDIMENTOS DE CLIENTES IRDM11 S/            187,,,pluggy-768ece72-4615-4716-bffc-1bd8fd1545e9,pluggy,e4d40b2d-f720-4570-8fb6-89c9a12e1e2f,03060000,Proceeds interests and dividends,Assets:Investment:XP:Cash,153.34,BRL
4,1,2025-06-17,*,,RENDIMENTOS DE CLIENTES IRDM11 S/            187,,,pluggy-768ece72-4615-4716-bffc-1bd8fd1545e9,pluggy,e4d40b2d-f720-4570-8fb6-89c9a12e1e2f,03060000,Proceeds interests and dividends,Income:Investment:XP:Rendimento,-153.34,BRL
5,0,2025-06-17,*,,RENDIMENTOS DE CLIENTES IRDM11 S/            187,,,pluggy-63e12392-6364-4649-af91-7beb23299b73,pluggy,ffd6004e-1066-4c1c-9ece-826c45ffda7d,03060000,Proceeds interests and dividends,Assets:Investment:XP:Cash,153.34,BRL
5,1,2025-06-17,*,,RENDIMENTOS DE CLIENTES IRDM11 S/            187,,,pluggy-63e12392-6364-4649-af91-7beb23299b73,pluggy,ffd6004e-1066-4c1c-9ece-826c45ffda7d,03060000,Proceeds interests and dividends,Income:Investment:XP:Rendimento,-153.34,BRL
6,0,2025-06-17,*,,BARAO DO KILO          RIO DE JANEIR BR,,,pluggy-afd744ba-c983-4e55-bc48-8d1de2675171,pluggy,75f30132-31a8-4b54-9be0-648009b118db,11010000,Eating out,Liabilities:Credit:BB:Card:EloGrafite,-53.15,BRL
6,1,2025-06-17,*,,BARAO DO KILO          RIO DE JANEIR BR,,,pluggy-afd744ba-c983-4e55-bc48-8d1de2675171,pluggy,75f30132-31a8-4b54-9be0-648009b118db,11010000,Eating out,Expenses:Alimentação:Restaurante,53.15,BRL
7,0,2025-06-17,*,,VBBR CONVENIENCIA S    RIO DE JANEIR BR,,,pluggy-a9d08471-7837-4364-93b9-680234827547,pluggy,75f30132-31a8-4b54-9be0-648009b118db,10000000,Groceries,Liabilities:Credit:BB:Card:EloGrafite,-14.99,BRL
7,1,2025-06-17,*,,VBBR CONVENIENCIA S    RIO DE JANEIR BR,,,pluggy-a9d08471-7837-4364-93b9-680234827547,pluggy,75f30132-31a8-4b54-9be0-648009b118db,10000000,Groceries,Expenses:Alimentação:Mercado,14.99,BRL
8,0,2025-06-17,*,,PIX - RECEBIDO  17/06 18:39 12639327704 ANA CAROLINA D,,,pluggy-da578965-08d6-41cd-8f24-2e1bcab8ce82,pluggy,25eb5f6d-2529-4377-8de5-e38160459cff,05070000,Transfer - PIX,Assets:Investment:BB:Cash,1200,BRL
